feature,importance
is_high_demand_zone,0.8331148
zone_avg_demand,0.12975222
demand_rolling_mean_12h,0.011584434
avg_duration,0.0012389297
avg_distance,0.0012024001
demand_rolling_mean_6h,0.0011751802
demand_rolling_mean_24h,0.0011557762
avg_fare,0.0011333432
demand_rolling_std_6h,0.001123248
zone_demand_ratio,0.0010737895
demand_rolling_std_3h,0.0010736093
total_passengers,0.0010525713
demand_lag_3h,0.0010189614
demand_lag_168h,0.0010166183
demand_lag_12h,0.0010146692
demand_lag_24h,0.0010029672
demand_rolling_mean_3h,0.0009883684
demand_lag_48h,0.0009881518
demand_lag_6h,0.00096836337
demand_lag_1h,0.0009572635
dayofmonth,0.00094245875
demand_lag_2h,0.00091085857
is_night,0.0009093689
is_weekend,0.0008414338
zone,0.0007828686
dayofweek,0.00076877215
month,0.0007604689
is_rush_hour,0.0007415676
hour,0.00070655195
